Time,Error,Angle
54038,-9.105469,-1.259948
54137,-10.13906,-3.339333
54233,-10.2375,-5.395432
54331,-10.48359,-7.504526
54427,-10.38516,-9.577806
54525,-10.68047,-11.72768
54622,-10.87734,-13.91358
54718,-9.991405,-15.87005
54813,-9.794531,-17.81616
54908,-9.105469,-19.6028
55003,-8.6625,-21.31112
55098,-6.496875,-22.50346
55193,-5.364843,-23.51379
55291,-5.414063,-24.5942
55388,-4.725,-25.5065
55487,-5.266406,-26.58287
55584,-6.546094,-27.95421
55681,-6.644531,-29.29252
55778,-7.678125,-30.8781
55875,-8.071875,-32.51502
55972,-7.185938,-33.91171
56069,-8.022655,-35.55339
56165,-7.875,-37.12417
56262,-7.0875,-38.50383
56360,-7.185938,-39.94284
56456,-6.644531,-41.24609
56554,-5.90625,-42.39023
56652,-4.921875,-43.32582
56751,-4.478907,-44.19727
56852,-3.445313,-44.83667
56951,-3.986719,-45.65542
57051,-4.380468,-46.55133
57151,-4.429688,-47.44104
57253,-3.248437,-48.03729
57355,-2.953125,-48.61062
57459,-2.3625,-49.05552
57561,-1.771875,-49.38129
57663,-0.2953125,-49.37051
57765,-0.0984375,-49.37632
57868,0.3445313,-49.28626
57970,0.984375,-49.05904
58073,1.673438,-48.69082
58175,2.559375,-48.13623
58277,3.445313,-47.40379
58378,4.380468,-46.48204
58481,5.5125,-45.32476
58583,6.69375,-43.92885
58684,5.266406,-42.93689
58784,4.035937,-42.19179
58883,4.134375,-41.36493
58982,5.266406,-40.25922
59081,5.955469,-39.03202
59180,7.0875,-37.55891
59279,7.579687,-36.01583
59377,7.136719,-34.60735
59477,6.69375,-33.29071
59575,6.841406,-31.91717
59674,8.022655,-30.25703
59774,8.859375,-28.4419
59875,9.203907,-26.58215
59975,10.33594,-24.46114
60075,9.597656,-22.57155
60176,9.892969,-20.58159
60276,9.302343,-18.74764
60375,9.794531,-16.7677
60475,10.68047,-14.58902
60574,11.17266,-12.32832
60671,10.97578,-10.14055
60769,10.08984,-8.16535
60866,9.696095,-6.247923
60964,10.04062,-4.225038
61061,9.302343,-2.39862
61158,8.908594,-0.6380391
61256,8.317968,0.9960962
61353,8.121094,2.608703
61450,8.170313,4.244244
61549,6.939844,5.575333
61647,6.644531,6.886032
61747,5.955469,8.043559
